"","Area","Sex","suic"
"1","East","Female",4.65862068965517
"2","East","Male",14.8310344827586
"3","East Midlands","Female",4.62413793103448
"4","East Midlands","Male",15.5758620689655
"5","London","Female",4.92758620689655
"6","London","Male",14.2275862068966
"7","North East","Female",5.12758620689655
"8","North East","Male",18.651724137931
"9","North West","Female",5.38275862068966
"10","North West","Male",17.7241379310345
"11","South East","Female",5.22413793103448
"12","South East","Male",15.3241379310345
"13","South West","Female",5.58965517241379
"14","South West","Male",16.8137931034483
"15","Wales","Female",5.17241379310345
"16","Wales","Male",19.2172413793103
"17","West Midlands","Female",4.70344827586207
"18","West Midlands","Male",15.7896551724138
"19","Yorkshire and The Humber","Female",5.02068965517241
"20","Yorkshire and The Humber","Male",16.8275862068966
