Claimant Count - seasonally adjusted,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 10 July 2023],,,,,,,,,,,,,,,,,,,,
Analysis   :,standard,,,,,,,,,,,,,,,,,,,
Sex        :,Female,,,,,,,,,,,,,,,,,,,
Rate       :,Workplace-based estimates,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,East,rate,East Midlands,rate,London,rate,North East,rate,North West,rate,South East,rate,South West,rate,Wales,rate,West Midlands,rate,Yorkshire and The Humber,rate
,,,,,,,,,,,,,,,,,,,,
Jan-91,28500,2.6,29200,3.3,67500,3.6,25900,4.9,62300,4.1,35300,2,31500,3,21000,3.7,43300,3.7,41500,3.8
Feb-91,30400,2.8,29900,3.3,71300,3.8,26100,4.9,64100,4.2,38300,2.2,33500,3.1,21800,3.8,45200,3.9,42600,3.9
Mar-91,33700,3.1,31900,3.6,77700,4.2,26900,5,65600,4.3,43300,2.5,35600,3.3,22500,4,47900,4.1,44100,4
Apr-91,34700,3.2,33000,3.7,81300,4.4,27800,5.2,66900,4.4,45200,2.6,36700,3.4,23500,4.1,50400,4.4,45800,4.2
May-91,36100,3.3,33600,3.8,83300,4.5,28200,5.3,68200,4.5,47200,2.7,37900,3.6,23900,4.2,51100,4.4,46300,4.2
Jun-91,37500,3.4,34500,3.9,86500,4.7,28500,5.3,68800,4.6,49100,2.8,39200,3.7,24300,4.3,52800,4.6,47300,4.3
Jul-91,39000,3.6,35600,4,89500,4.8,28600,5.4,70100,4.6,51300,3,40600,3.8,24700,4.4,54500,4.7,48200,4.4
Aug-91,40200,3.7,36500,4.1,92100,5,28900,5.4,71000,4.7,53000,3.1,41500,3.9,25000,4.4,55600,4.8,48800,4.5
Sep-91,41300,3.8,37000,4.1,94100,5.1,28900,5.4,71800,4.8,54700,3.2,42500,4,25000,4.4,56800,4.9,49100,4.5
Oct-91,42100,3.8,37300,4.2,95800,5.2,29000,5.4,71800,4.8,55400,3.2,43200,4.1,25200,4.4,57300,5,49600,4.5
Nov-91,43000,3.9,37800,4.2,97100,5.2,28700,5.4,71900,4.8,56400,3.2,43800,4.1,25500,4.5,57800,5,49600,4.5
Dec-91,43600,4,38100,4.3,98500,5.3,28600,5.4,72200,4.8,57700,3.3,44400,4.2,25600,4.5,58500,5.1,49900,4.6
Jan-92,44600,4,38400,4.4,100000,5.4,28700,5.4,72800,4.8,58900,3.4,45000,4.3,25700,4.5,59500,5.2,50100,4.6
Feb-92,45900,4.2,38700,4.4,101500,5.5,28700,5.4,73200,4.9,60600,3.5,45900,4.4,25900,4.5,60600,5.3,50400,4.6
Mar-92,46600,4.2,39200,4.5,102600,5.6,28700,5.4,73400,4.9,61400,3.5,46400,4.4,25800,4.5,60700,5.3,50600,4.6
Apr-92,47300,4.3,39400,4.5,103400,5.6,28300,5.3,73500,4.9,62100,3.5,47000,4.5,25900,4.5,60900,5.3,50400,4.6
May-92,48200,4.4,39800,4.6,105000,5.7,28500,5.3,73900,4.9,62900,3.6,47600,4.6,25900,4.5,61700,5.4,51300,4.7
Jun-92,48900,4.4,40000,4.6,105800,5.7,28400,5.3,73800,4.9,63500,3.6,48000,4.6,25900,4.5,61900,5.4,51600,4.7
Jul-92,49500,4.5,40200,4.6,106700,5.8,28300,5.3,73700,4.9,64200,3.7,48600,4.7,25900,4.5,62100,5.4,51500,4.7
Aug-92,50900,4.6,40600,4.7,109400,5.9,28400,5.3,74800,5,66300,3.8,49700,4.8,26000,4.5,63300,5.5,52200,4.8
Sep-92,51900,4.7,41000,4.7,111100,6,28500,5.3,74800,5,67500,3.8,50300,4.8,26400,4.6,63600,5.5,52900,4.8
Oct-92,52900,4.8,41600,4.8,113000,6.1,28800,5.4,75200,5,69000,3.9,50800,4.9,26600,4.6,64300,5.6,53300,4.9
Nov-92,53600,4.9,41900,4.8,115100,6.2,29100,5.4,75700,5,70700,4,51800,5,26800,4.7,65000,5.6,53500,4.9
Dec-92,55300,5,43400,5,118600,6.4,29900,5.6,77300,5.1,73400,4.2,53300,5.1,27500,4.8,66700,5.8,55100,5
Jan-93,55400,5.1,42800,4.8,118200,6.5,29500,5.5,76500,5.1,73300,4.2,52900,5,27400,4.7,66300,5.7,54700,5
Feb-93,55500,5.1,42600,4.8,118700,6.5,29400,5.5,75800,5.1,73400,4.2,52900,5,27400,4.7,66500,5.7,54400,5
