Claimant Count - seasonally adjusted,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 10 July 2023],,,,,,,,,,,,,,,,,,,,
Analysis   :,standard,,,,,,,,,,,,,,,,,,,
Sex        :,Male,,,,,,,,,,,,,,,,,,,
Rate       :,Workplace-based estimates,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,East,rate,East Midlands,rate,London,rate,North East,rate,North West,rate,South East,rate,South West,rate,Wales,rate,West Midlands,rate,Yorkshire and The Humber,rate
,,,,,,,,,,,,,,,,,,,,
Jan-91,84000,5.8,83900,7.3,188300,7.6,90800,13.3,199500,10.2,114400,5.3,90700,6.6,74000,9.9,127700,8.2,134900,9.6
Feb-91,91600,6.3,89100,7.7,198900,8,93100,13.6,206600,10.6,125100,5.8,98500,7.2,78200,10.5,135400,8.7,140100,10
Mar-91,100800,7,96100,8.3,215200,8.6,95400,14,214600,11,139700,6.5,107100,7.8,82600,11.1,146500,9.4,146200,10.4
Apr-91,103800,7.2,99000,8.6,221900,8.9,98400,14.4,219000,11.2,145300,6.7,110200,8.1,85300,11.4,153100,9.8,151700,10.8
May-91,109100,7.5,102300,8.9,231700,9.3,99200,14.5,224300,11.5,152900,7.1,115000,8.4,87100,11.7,158800,10.2,155700,11.1
Jun-91,114700,7.9,106100,9.2,242700,9.8,100300,14.7,230100,11.8,161900,7.5,120300,8.8,89000,11.9,164900,10.6,159600,11.4
Jul-91,119900,8.3,109900,9.5,252800,10.2,101900,14.9,235300,12.1,170000,7.9,125100,9.1,90800,12.1,170900,10.9,163700,11.7
Aug-91,123900,8.6,112900,9.8,260400,10.5,103100,15.1,239900,12.3,175800,8.1,128600,9.4,92200,12.3,174900,11.2,166800,11.9
Sep-91,127600,8.8,114800,10,267100,10.7,104000,15.2,243200,12.5,180800,8.3,132200,9.7,93300,12.5,179200,11.5,168800,12
Oct-91,130300,9,117200,10.2,273100,11,104200,15.2,246400,12.7,185500,8.6,135400,9.9,94100,12.6,182700,11.7,170000,12.1
Nov-91,133500,9.2,119500,10.4,279400,11.2,104000,15.2,249100,12.8,190600,8.8,138500,10.1,94900,12.7,186200,11.9,171000,12.2
Dec-91,135700,9.4,121300,10.5,285000,11.5,104800,15.3,251600,12.9,195200,9,141100,10.3,95300,12.8,189200,12.1,171700,12.2
Jan-92,138700,9.6,122000,10.7,289800,11.7,105200,15.3,252600,13.1,199500,9.3,143400,10.8,95600,12.8,191100,12.2,172600,12.4
Feb-92,143200,9.9,125300,10.9,296600,12,106000,15.4,255500,13.3,205700,9.6,146700,11.1,96600,12.9,195200,12.4,175000,12.6
Mar-92,145900,10.1,126700,11.1,301300,12.2,106400,15.5,257100,13.4,210600,9.8,149000,11.2,96900,12.9,196900,12.6,176100,12.7
Apr-92,148700,10.3,128600,11.2,306200,12.4,107400,15.6,259300,13.5,215600,10,152000,11.5,97500,13,199100,12.7,177200,12.7
May-92,152000,10.5,130400,11.4,311900,12.6,107200,15.6,260800,13.6,219500,10.2,154500,11.7,97900,13.1,202100,12.9,178600,12.8
Jun-92,153700,10.6,130700,11.4,314800,12.7,107800,15.7,260800,13.6,221600,10.3,155600,11.7,98200,13.1,202500,12.9,179200,12.9
Jul-92,155600,10.8,131900,11.5,319500,12.9,108400,15.8,261500,13.6,224700,10.5,158000,11.9,98200,13.1,204000,13,180900,13
Aug-92,159800,11.1,133200,11.6,325500,13.2,109600,16,264300,13.7,230300,10.7,161300,12.2,100000,13.4,207200,13.2,182900,13.1
Sep-92,162400,11.2,134700,11.8,329000,13.3,111000,16.2,266200,13.8,233900,10.9,163200,12.3,101300,13.5,208800,13.3,184900,13.3
Oct-92,165700,11.5,137200,12,335000,13.6,112600,16.4,268400,14,239400,11.2,164500,12.4,102600,13.7,213100,13.6,186900,13.4
Nov-92,169000,11.7,140100,12.2,339700,13.8,114900,16.7,270400,14.1,244800,11.4,167600,12.6,103200,13.8,216700,13.8,190400,13.7
Dec-92,173900,12,143900,12.6,348100,14.1,118400,17.3,276000,14.4,251900,11.7,171200,12.9,105500,14.1,221900,14.1,195400,14
Jan-93,174100,12.2,142400,12.8,346400,14.2,116700,17.1,271800,14.3,251900,11.9,169700,12.8,104000,13.9,219900,14.3,192800,13.8
Feb-93,172900,12.1,141800,12.7,347500,14.2,117700,17.2,270400,14.2,249400,11.8,168200,12.6,103500,13.9,219500,14.2,192600,13.8
Mar-93,172500,12.1,141100,12.7,348900,14.3,117200,17.1,269600,14.2,248400,11.7,167600,12.6,103100,13.8,219300,14.2,192200,13.8
Apr-93,172900,12.1,141400,12.7,349900,14.3,118800,17.4,270000,14.2,248000,11.7,167200,12.6,103200,13.8,219200,14.2,192400,13.8
May-93,171500,12,141000,12.7,349800,14.3,119700,17.5,268000,14.1,245800,11.6,165300,12.4,102800,13.8,217400,14.1,191000,13.7
Jun-93,170800,12,140400,12.6,349500,14.3,121200,17.7,267300,14,244300,11.5,164500,12.4,102800,13.8,216200,14,190300,13.7
Jul-93,169600,11.9,139800,12.6,348400,14.3,120100,17.6,265500,14,242900,11.5,163400,12.3,102300,13.7,214800,13.9,188900,13.6
Aug-93,168000,11.8,139600,12.6,347600,14.2,119900,17.5,265000,13.9,241800,11.4,161900,12.2,102400,13.7,213800,13.9,189100,13.6
Sep-93,166200,11.7,138800,12.5,346100,14.2,119600,17.5,262600,13.8,240000,11.3,160300,12.1,101700,13.6,211300,13.7,187600,13.5
Oct-93,164100,11.5,137000,12.3,343500,14.1,119000,17.4,259600,13.6,236300,11.2,158000,11.9,101000,13.5,208300,13.5,185800,13.3
Nov-93,161700,11.3,135500,12.2,341000,14,117800,17.2,257300,13.5,232200,11,155300,11.7,100700,13.5,205000,13.3,183800,13.2
Dec-93,158300,11.1,134400,12.1,337200,13.8,117000,17.1,255300,13.4,228800,10.8,153900,11.6,100100,13.4,202400,13.1,181800,13
Jan-94,159300,11.4,134500,11.8,337300,14.1,117500,17.8,254600,13.9,229300,10.6,154300,11.4,100000,13.2,201000,13.8,182300,13.5
Feb-94,156200,11.2,133500,11.7,334400,14,116200,17.6,251400,13.8,224000,10.4,151800,11.2,99100,13,198400,13.6,180400,13.4
Mar-94,154200,11,133200,11.7,332500,13.9,115500,17.5,249000,13.6,220500,10.2,150000,11.1,98300,12.9,195900,13.5,179500,13.3
Apr-94,151200,10.8,130800,11.5,328500,13.8,114200,17.3,245700,13.5,216000,10,147000,10.8,96900,12.7,192100,13.2,177100,13.1
May-94,149200,10.7,129900,11.4,325900,13.7,113600,17.2,243500,13.3,213100,9.9,146100,10.8,95800,12.6,189100,13,176600,13.1
Jun-94,146500,10.5,129100,11.3,322600,13.5,112900,17.1,240500,13.2,210000,9.7,144400,10.7,94500,12.4,186500,12.8,175100,13
Jul-94,143600,10.3,127300,11.2,319300,13.4,111900,16.9,237300,13,205600,9.5,141900,10.5,93100,12.2,184300,12.7,173000,12.8
Aug-94,141000,10.1,125700,11,315200,13.2,110700,16.7,233800,12.8,200900,9.3,139200,10.3,91500,12,181300,12.5,170800,12.7
Sep-94,139000,9.9,124800,11,312700,13.1,110300,16.7,231600,12.7,197200,9.2,137100,10.1,90100,11.9,178700,12.3,169800,12.6
Oct-94,135800,9.7,122700,10.8,309900,13,109600,16.6,227800,12.5,192200,8.9,134600,9.9,87900,11.6,175300,12.1,167900,12.5
Nov-94,133400,9.5,120600,10.6,306100,12.8,109300,16.5,224300,12.3,188300,8.7,133000,9.8,86700,11.4,172200,11.8,166600,12.4
Dec-94,129300,9.2,117700,10.3,301800,12.7,107900,16.3,220200,12.1,183300,8.5,130100,9.6,85200,11.2,168300,11.6,163900,12.2
Jan-95,129300,8.8,117100,10.2,299100,12.3,107200,16.3,218300,12,181800,8.2,128700,9.3,84200,11.7,165900,10.9,163800,11.8
Feb-95,127100,8.6,115700,10.1,296600,12.2,105200,16,215700,11.9,179000,8.1,127100,9.2,83500,11.6,163500,10.7,162500,11.7
Mar-95,126300,8.6,114600,10,294700,12.1,105000,16,213900,11.8,177700,8,126900,9.2,83100,11.5,161900,10.6,161700,11.6
