"","Year","Area","Benclm_wb","Sex"
"1",1991,"East",3.43333333333333,"Female"
"2",1991,"East Midlands",3.875,"Female"
"3",1991,"London",4.65,"Female"
"4",1991,"North East",5.25,"Female"
"5",1991,"North West",4.55,"Female"
"6",1991,"South East",2.81666666666667,"Female"
"7",1991,"South West",3.68333333333333,"Female"
"8",1991,"Wales",4.225,"Female"
"9",1991,"West Midlands",4.55,"Female"
"10",1991,"Yorkshire and The Humber",4.28333333333333,"Female"
"11",1992,"East",4.5,"Female"
"12",1992,"East Midlands",4.63333333333333,"Female"
"13",1992,"London",5.825,"Female"
"14",1992,"North East",5.36666666666667,"Female"
"15",1992,"North West",4.94166666666667,"Female"
"16",1992,"South East",3.70833333333333,"Female"
"17",1992,"South West",4.675,"Female"
"18",1992,"Wales",4.55833333333333,"Female"
"19",1992,"West Midlands",5.44166666666667,"Female"
"20",1992,"Yorkshire and The Humber",4.74166666666667,"Female"
"21",1993,"East",4.94166666666667,"Female"
"22",1993,"East Midlands",4.66666666666667,"Female"
"23",1993,"London",6.5,"Female"
"24",1993,"North East",5.4,"Female"
"25",1993,"North West",4.90833333333333,"Female"
"26",1993,"South East",4.11666666666667,"Female"
"27",1993,"South West",4.88333333333333,"Female"
"28",1993,"Wales",4.675,"Female"
"29",1993,"West Midlands",5.55833333333333,"Female"
"30",1993,"Yorkshire and The Humber",4.825,"Female"
"31",1994,"East",4.19166666666667,"Female"
"32",1994,"East Midlands",4.45,"Female"
"33",1994,"London",5.8,"Female"
"34",1994,"North East",5.125,"Female"
"35",1994,"North West",4.6,"Female"
"36",1994,"South East",3.53333333333333,"Female"
"37",1994,"South West",4.25,"Female"
"38",1994,"Wales",4.45833333333333,"Female"
"39",1994,"West Midlands",5.075,"Female"
"40",1994,"Yorkshire and The Humber",4.53333333333333,"Female"
"41",1995,"East",3.51666666666667,"Female"
"42",1995,"East Midlands",3.775,"Female"
"43",1995,"London",5.11666666666667,"Female"
"44",1995,"North East",4.69166666666667,"Female"
"45",1995,"North West",3.98333333333333,"Female"
"46",1995,"South East",2.98333333333333,"Female"
"47",1995,"South West",3.59166666666667,"Female"
"48",1995,"Wales",3.96666666666667,"Female"
"49",1995,"West Midlands",4.31666666666667,"Female"
"50",1995,"Yorkshire and The Humber",4.075,"Female"
"51",1996,"East",3.175,"Female"
"52",1996,"East Midlands",3.2,"Female"
"53",1996,"London",4.88333333333333,"Female"
"54",1996,"North East",4.26666666666667,"Female"
"55",1996,"North West",3.44166666666667,"Female"
"56",1996,"South East",2.51666666666667,"Female"
"57",1996,"South West",3.18333333333333,"Female"
"58",1996,"Wales",3.66666666666667,"Female"
"59",1996,"West Midlands",3.68333333333333,"Female"
"60",1996,"Yorkshire and The Humber",3.56666666666667,"Female"
"61",1997,"East",2.19166666666667,"Female"
"62",1997,"East Midlands",2.25,"Female"
"63",1997,"London",3.55,"Female"
"64",1997,"North East",3.41666666666667,"Female"
"65",1997,"North West",2.61666666666667,"Female"
"66",1997,"South East",1.65,"Female"
"67",1997,"South West",2.19166666666667,"Female"
"68",1997,"Wales",2.85,"Female"
"69",1997,"West Midlands",2.74166666666667,"Female"
"70",1997,"Yorkshire and The Humber",2.80833333333333,"Female"
"71",1998,"East",1.78333333333333,"Female"
"72",1998,"East Midlands",1.95833333333333,"Female"
"73",1998,"London",2.90833333333333,"Female"
"74",1998,"North East",2.975,"Female"
"75",1998,"North West",2.34166666666667,"Female"
"76",1998,"South East",1.33333333333333,"Female"
"77",1998,"South West",1.85833333333333,"Female"
"78",1998,"Wales",2.55,"Female"
"79",1998,"West Midlands",2.44166666666667,"Female"
"80",1998,"Yorkshire and The Humber",2.58333333333333,"Female"
"81",1999,"East",1.61666666666667,"Female"
"82",1999,"East Midlands",1.83333333333333,"Female"
"83",1999,"London",2.55,"Female"
"84",1999,"North East",3.04166666666667,"Female"
"85",1999,"North West",2.18333333333333,"Female"
"86",1999,"South East",1.15,"Female"
"87",1999,"South West",1.66666666666667,"Female"
"88",1999,"Wales",2.41666666666667,"Female"
"89",1999,"West Midlands",2.31666666666667,"Female"
"90",1999,"Yorkshire and The Humber",2.5,"Female"
"91",2000,"East",1.35,"Female"
"92",2000,"East Midlands",1.71666666666667,"Female"
"93",2000,"London",2.09166666666667,"Female"
"94",2000,"North East",2.63333333333333,"Female"
"95",2000,"North West",1.9,"Female"
"96",2000,"South East",0.966666666666667,"Female"
"97",2000,"South West",1.35,"Female"
"98",2000,"Wales",2.025,"Female"
"99",2000,"West Midlands",2.08333333333333,"Female"
"100",2000,"Yorkshire and The Humber",2.09166666666667,"Female"
"101",2001,"East",1.15,"Female"
"102",2001,"East Midlands",1.65,"Female"
"103",2001,"London",1.91666666666667,"Female"
"104",2001,"North East",2.26666666666667,"Female"
"105",2001,"North West",1.69166666666667,"Female"
"106",2001,"South East",0.816666666666667,"Female"
"107",2001,"South West",1.15,"Female"
"108",2001,"Wales",1.9,"Female"
"109",2001,"West Midlands",1.925,"Female"
"110",2001,"Yorkshire and The Humber",1.85,"Female"
"111",2002,"East",1.18333333333333,"Female"
"112",2002,"East Midlands",1.51666666666667,"Female"
"113",2002,"London",2.15,"Female"
"114",2002,"North East",2.125,"Female"
"115",2002,"North West",1.6,"Female"
"116",2002,"South East",0.9,"Female"
"117",2002,"South West",1.1,"Female"
"118",2002,"Wales",1.675,"Female"
"119",2002,"West Midlands",1.8,"Female"
"120",2002,"Yorkshire and The Humber",1.75,"Female"
"121",2003,"East",1.21666666666667,"Female"
"122",2003,"East Midlands",1.59166666666667,"Female"
"123",2003,"London",2.23333333333333,"Female"
"124",2003,"North East",2.08333333333333,"Female"
"125",2003,"North West",1.58333333333333,"Female"
"126",2003,"South East",0.983333333333333,"Female"
"127",2003,"South West",1.00833333333333,"Female"
"128",2003,"Wales",1.6,"Female"
"129",2003,"West Midlands",1.83333333333333,"Female"
"130",2003,"Yorkshire and The Humber",1.68333333333333,"Female"
"131",2004,"East",1.2,"Female"
"132",2004,"East Midlands",1.43333333333333,"Female"
"133",2004,"London",2.13333333333333,"Female"
"134",2004,"North East",1.825,"Female"
"135",2004,"North West",1.425,"Female"
"136",2004,"South East",0.908333333333333,"Female"
"137",2004,"South West",0.916666666666667,"Female"
"138",2004,"Wales",1.475,"Female"
"139",2004,"West Midlands",1.73333333333333,"Female"
"140",2004,"Yorkshire and The Humber",1.45,"Female"
"141",2005,"East",1.24166666666667,"Female"
"142",2005,"East Midlands",1.41666666666667,"Female"
"143",2005,"London",2.11666666666667,"Female"
"144",2005,"North East",1.8,"Female"
"145",2005,"North West",1.48333333333333,"Female"
"146",2005,"South East",0.916666666666667,"Female"
"147",2005,"South West",0.9,"Female"
"148",2005,"Wales",1.45,"Female"
"149",2005,"West Midlands",1.8,"Female"
"150",2005,"Yorkshire and The Humber",1.525,"Female"
"151",2006,"East",1.35,"Female"
