"","Sex","Area","Year","suic_rates","unemp_rate","Benclm_wb"
"1","Female","East Midlands",1993,5.1,7.25,4.66666666666667
"2","Female","East Midlands",1994,5.3,7.025,4.45
"3","Female","East Midlands",1995,5.6,5.9,3.775
"4","Female","East Midlands",1996,5.5,5.825,3.2
"5","Female","East Midlands",1997,4.7,4.925,2.25
"6","Female","East Midlands",1998,4.2,4.775,1.95833333333333
"7","Female","East Midlands",1999,5.3,4.975,1.83333333333333
"8","Female","East Midlands",2000,4.9,4.525,1.71666666666667
"9","Female","East Midlands",2001,4.9,4.7,1.65
"10","Female","East Midlands",2002,4.8,4.55,1.51666666666667
"11","Female","East Midlands",2003,4.8,3.825,1.59166666666667
"12","Female","East Midlands",2004,5.4,4.1,1.43333333333333
"13","Female","East Midlands",2005,4.4,3.875,1.41666666666667
"14","Female","East Midlands",2006,4.8,5.125,1.61666666666667
"15","Female","East Midlands",2007,3.8,5.575,1.55833333333333
"16","Female","East Midlands",2008,4.3,5.55,1.6
"17","Female","East Midlands",2009,5.1,6.2,2.825
"18","Female","East Midlands",2010,4.1,7.45,2.85
"19","Female","East Midlands",2011,4.1,8.25,3.2
"20","Female","East Midlands",2012,3.5,8,3.46666666666667
"21","Female","East Midlands",2013,3.8,7.225,3.06666666666667
"22","Female","East Midlands",2014,4.9,5.325,2.24166666666667
"23","Female","East Midlands",2015,4.5,4.5,1.61666666666667
"24","Female","East Midlands",2016,3.6,4.75,1.40833333333333
"25","Female","East Midlands",2017,4.1,4.05,1.48333333333333
"26","Female","East Midlands",2018,4.7,4.3,1.76666666666667
"27","Female","East Midlands",2019,5.2,3.975,2.39166666666667
"28","Female","East Midlands",2020,3.9,4.7,4.54166666666667
"29","Female","East Midlands",2021,4.8,3.8,4.65
"30","Female","East",1993,5.7,7.3,4.94166666666667
"31","Female","East",1994,4.8,6.9,4.19166666666667
"32","Female","East",1995,4.6,6.275,3.51666666666667
"33","Female","East",1996,4.9,5.875,3.175
"34","Female","East",1997,4.8,5.2,2.19166666666667
"35","Female","East",1998,5.1,4.825,1.78333333333333
"36","Female","East",1999,4,3.875,1.61666666666667
"37","Female","East",2000,4.8,3.4,1.35
"38","Female","East",2001,5,4.05,1.15
"39","Female","East",2002,4.5,3.525,1.18333333333333
"40","Female","East",2003,4.8,3.925,1.21666666666667
"41","Female","East",2004,5.3,3.6,1.2
"42","Female","East",2005,4.6,4.125,1.24166666666667
"43","Female","East",2006,4.5,4.8,1.35
"44","Female","East",2007,4,4.975,1.30833333333333
"45","Female","East",2008,4.9,4.55,1.30833333333333
"46","Female","East",2009,3.9,5.95,2.4
"47","Female","East",2010,3.6,6.2,2.46666666666667
"48","Female","East",2011,4.5,6.475,2.88333333333333
"49","Female","East",2012,4.1,6.775,2.925
"50","Female","East",2013,3.9,6.1,2.65
"51","Female","East",2014,4.8,4.8,1.76666666666667
"52","Female","East",2015,4.4,4.1,1.26666666666667
"53","Female","East",2016,4.8,4.225,1.175
"54","Female","East",2017,4.5,3.775,1.24166666666667
"55","Female","East",2018,5.4,3.325,1.55833333333333
"56","Female","East",2019,5.9,3.1,2.10833333333333
"57","Female","East",2020,4.9,4.2,4.225
"58","Female","East",2021,4.1,3.575,4.45833333333333
"59","Female","London",1993,7.6,10.75,6.5
"60","Female","London",1994,6.1,9.85,5.8
"61","Female","London",1995,5.7,10.075,5.11666666666667
