"","Area","Sex","mean_D_dth","mean_A_dth","SA_dth"
"1","East","Female",8.3448275862069,4.93809523809524,13.2829228243021
"2","East","Male",32.351724137931,10.3190476190476,42.6707717569787
"3","East Midlands","Female",8.21724137931034,6.98571428571429,15.2029556650246
"4","East Midlands","Male",32.2793103448276,13.9428571428571,46.2221674876847
"5","London","Female",9.58620689655172,4.53809523809524,14.124302134647
"6","London","Male",36.7379310344828,12.6714285714286,49.4093596059113
"7","North East","Female",16.8758620689655,10.1380952380952,27.0139573070608
"8","North East","Male",62.3137931034483,19.9428571428571,82.2566502463054
"9","North West","Female",17.9068965517241,10.3095238095238,28.2164203612479
"10","North West","Male",58.0827586206897,19.852380952381,77.9351395730706
"11","South East","Female",9.18965517241379,5.50952380952381,14.6991789819376
"12","South East","Male",34.8310344827586,12.0666666666667,46.8977011494253
"13","South West","Female",10.6241379310345,5.94761904761905,16.5717569786535
"14","South West","Male",46.4137931034483,13.0809523809524,59.4947454844007
"15","Wales","Female",13.1551724137931,8.26666666666667,21.4218390804598
"16","Wales","Male",52.7068965517241,16.6857142857143,69.3926108374384
"17","West Midlands","Female",9.48620689655172,8.33809523809524,17.824302134647
"18","West Midlands","Male",39.0413793103448,17.847619047619,56.8889983579639
"19","Yorkshire and The Humber","Female",13.7172413793103,7.47142857142857,21.1886699507389
"20","Yorkshire and The Humber","Male",52.5586206896552,15.9761904761905,68.5348111658457
