"Table 11.3: trends in age group and presenting substances, new presentations to treatment",,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found at the bottom of the worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,
Percentages may equal 0% or not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Link back to the index,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Substance,18-19 (number),18-19 (%),20-24 (number),20-24 (%),25-29 (number),25-29 (%),30-34 (number),30-34 (%),35-39 (number),35-39 (%),40-44 (number),40-44 (%),45-49 (number),45-49 (%),50-54 (number),50-54 (%),55-59 (number),55-59 (%),60-64 (number),60-64 (%),65+ (number),65+ (%),Total (number),Total (%)
2005-06,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),935,20.4,"6,552",39.3,"10,101",45.1,"9,245",42.4,"6,315",34.9,"3,429",28.6,"1,502",22.3,674,16.7,244,10,73,6.5,46,6,"39,116",35.3
,Both opiate and crack cocaine,484,10.5,"3,380",20.3,"5,408",24.1,"4,987",22.9,"3,803",21,"1,974",16.5,677,10.1,247,6.1,82,3.4,15,1.3,5,0.7,"21,062",19
,Crack cocaine (not opiate),237,5.2,837,5,"1,065",4.8,"1,027",4.7,880,4.9,567,4.7,232,3.5,86,2.1,30,1.2,13,1.2,5,0.7,"4,979",4.5
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,245",48.9,"5,045",30.2,"5,002",22.3,"4,236",19.4,"3,262",18,"1,814",15.1,825,12.3,389,9.6,149,6.1,32,2.8,18,2.3,"23,017",20.8
,Cocaine,861,18.8,"2,647",15.9,"2,860",12.8,"2,516",11.5,"1,842",10.2,933,7.8,361,5.4,126,3.1,47,1.9,15,1.3,7,0.9,"12,215",11
,Amphetamine (other than ecstasy),387,8.4,"1,045",6.3,"1,280",5.7,"1,353",6.2,"1,117",6.2,569,4.7,242,3.6,116,2.9,52,2.1,12,1.1,2,0.3,"6,175",5.6
,Benzodiazepine,166,3.6,938,5.6,"1,695",7.6,"1,787",8.2,"1,282",7.1,722,6,366,5.4,185,4.6,101,4.1,45,4,66,8.6,"7,353",6.6
,Other,114,2.5,375,2.2,590,2.6,675,3.1,587,3.2,354,3,163,2.4,91,2.3,59,2.4,25,2.2,16,2.1,"3,049",2.8
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,626",35.4,"3,935",23.6,"5,015",22.4,"5,993",27.5,"6,861",37.9,"6,069",50.6,"4,244",63.1,"2,968",73.4,"1,992",81.5,976,86.8,644,84,"40,323",36.4
,Total number of individuals [note 1],"4,592",100,"16,691",100,"22,421",100,"21,805",100,"18,086",100,"11,993",100,"6,722",100,"4,041",100,"2,445",100,"1,124",100,767,100,"110,687",100
2006-07,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),775,16.7,"5,109",33.9,"9,012",42.3,"8,275",39.7,"6,033",33.6,"3,548",27.8,"1,613",21.7,692,16.6,324,13.2,103,8.7,48,6.2,"35,532",32.7
,Both opiate and crack cocaine,434,9.3,"3,051",20.3,"5,230",24.5,"5,180",24.8,"4,067",22.6,"2,394",18.8,889,12,305,7.3,85,3.5,28,2.4,6,0.8,"21,669",19.9
,Crack cocaine (not opiate),225,4.8,901,6,"1,068",5,"1,014",4.9,844,4.7,653,5.1,292,3.9,115,2.8,52,2.1,14,1.2,8,1,"5,186",4.8
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,341",50.4,"4,806",31.9,"4,715",22.1,"3,997",19.2,"3,167",17.6,"2,105",16.5,926,12.5,404,9.7,172,7,28,2.4,14,1.8,"22,675",20.9
,Cocaine,"1,092",23.5,"3,032",20.1,"3,308",15.5,"2,743",13.2,"2,038",11.3,"1,186",9.3,533,7.2,165,3.9,72,2.9,17,1.4,7,0.9,"14,193",13.1
,Amphetamine (other than ecstasy),398,8.6,"1,085",7.2,"1,369",6.4,"1,371",6.6,"1,236",6.9,714,5.6,301,4,122,2.9,53,2.2,12,1,4,0.5,"6,665",6.1
,Benzodiazepine,138,3,835,5.5,"1,700",8,"1,717",8.2,"1,339",7.4,737,5.8,386,5.2,178,4.3,118,4.8,54,4.5,53,6.8,"7,255",6.7
,Other,52,1.1,247,1.6,384,1.8,368,1.8,322,1.8,216,1.7,113,1.5,45,1.1,32,1.3,16,1.3,11,1.4,"1,806",1.7
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,886",40.6,"3,844",25.5,"5,203",24.4,"6,306",30.2,"6,968",38.8,"6,321",49.6,"4,681",63,"3,094",74,"1,951",79.2,"1,007",84.8,662,85,"41,923",38.6
,Total number of individuals [note 1],"4,649",100,"15,059",100,"21,307",100,"20,849",100,"17,977",100,"12,755",100,"7,435",100,"4,180",100,"2,463",100,"1,187",100,779,100,"108,640",100
2007-08,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),683,12.9,"4,216",26.6,"7,876",34.2,"7,645",34.4,"5,836",28.7,"3,657",23.3,"1,614",16.6,758,13.3,320,9.2,85,4.6,43,4,"32,733",26.4
,Both opiate and crack cocaine,461,8.7,"3,246",20.5,"6,115",26.6,"5,593",25.2,"4,629",22.7,"2,804",17.9,"1,120",11.5,375,6.6,137,3.9,27,1.5,9,0.8,"24,516",19.7
,Crack cocaine (not opiate),267,5.1,926,5.8,"1,129",4.9,"1,044",4.7,865,4.3,659,4.2,377,3.9,116,2,55,1.6,24,1.3,9,0.8,"5,471",4.4
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,710",51.3,"5,185",32.7,"5,305",23,"4,259",19.2,"3,504",17.2,"2,298",14.7,"1,118",11.5,489,8.6,241,6.9,51,2.8,13,1.2,"25,173",20.3
,Cocaine,"1,374",26,"3,581",22.6,"3,798",16.5,"2,910",13.1,"2,194",10.8,"1,259",8,563,5.8,220,3.9,73,2.1,18,1,7,0.7,"15,997",12.9
,Amphetamine (other than ecstasy),451,8.5,"1,131",7.1,"1,362",5.9,"1,377",6.2,"1,226",6,776,5,324,3.3,123,2.2,63,1.8,13,0.7,5,0.5,"6,851",5.5
,Benzodiazepine,145,2.7,936,5.9,"1,879",8.2,"1,814",8.2,"1,497",7.4,881,5.6,451,4.6,208,3.6,107,3.1,56,3,30,2.8,"8,004",6.4
,Other,75,1.4,270,1.7,385,1.7,322,1.5,281,1.4,213,1.4,120,1.2,64,1.1,32,0.9,19,1,10,0.9,"1,791",1.4
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"2,468",46.8,"5,160",32.5,"6,992",30.4,"7,952",35.8,"9,446",46.4,"9,063",57.9,"6,846",70.3,"4,516",79.2,"2,946",84.9,"1,676",90.9,992,92.5,"58,057",46.7
,Total number of individuals [note 1],"5,279",100,"15,861",100,"23,023",100,"22,198",100,"20,352",100,"15,666",100,"9,737",100,"5,704",100,"3,469",100,"1,843",100,"1,073",100,"124,205",100
2008-09,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),574,10.9,"3,882",23,"7,779",31.1,"7,766",31.2,"6,239",25.8,"4,004",19.8,"1,971",14.3,802,9.9,347,7.1,120,4.4,49,3,"33,533",22.7
,Both opiate and crack cocaine,412,7.8,"2,941",17.4,"6,191",24.8,"6,006",24.1,"5,007",20.7,"3,219",15.9,"1,357",9.9,428,5.3,125,2.5,35,1.3,14,0.9,"25,735",17.4
