"Table 1: Alcohol-specific age-standardised death rates, for English regions and constituent countries of the United Kingdom, 2001 to 2021 [note 2] [note 4] [note 6] [note 7] [note 8]",,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the 'Notes' worksheet.,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Sex,Year [note 3],Number of deaths,"Age-standardised rate per 100,000",Lower 95% confidence interval,Upper 95% confidence interval,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2001,96,7.8,6.3,9.5,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2001,165,14.3,12.1,16.5,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2001,261,10.9,9.6,12.2,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2002,76,6.1,4.8,7.7,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2002,185,15.8,13.5,18.1,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2002,261,10.8,9.5,12.1,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2003,110,8.8,7.2,10.5,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2003,187,16.0,13.7,18.3,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2003,297,12.2,10.9,13.6,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2004,112,9.0,7.3,10.6,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2004,221,18.8,16.3,21.3,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2004,333,13.7,12.2,15.1,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2005,102,8.1,6.6,9.7,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2005,210,17.5,15.1,19.8,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2005,312,12.7,11.3,14.1,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2006,105,8.3,6.7,9.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2006,237,19.6,17.1,22.1,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2006,342,13.7,12.3,15.2,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2007,133,10.4,8.6,12.1,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2007,236,19.4,16.9,21.9,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2007,369,14.8,13.3,16.3,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2008,141,11.0,9.2,12.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2008,259,21.5,18.8,24.1,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2008,400,16.1,14.5,17.7,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2009,122,9.5,7.8,11.2,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2009,233,18.9,16.4,21.3,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2009,355,14.1,12.6,15.6,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2010,117,9.0,7.4,10.7,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2010,256,20.7,18.1,23.2,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2010,373,14.7,13.2,16.2,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2011,126,9.7,8.0,11.3,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2011,253,20.4,17.9,23.0,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2011,379,14.9,13.4,16.4,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2012,114,8.7,7.1,10.3,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2012,198,16.1,13.8,18.3,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2012,312,12.2,10.9,13.6,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2013,123,9.4,7.7,11.0,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2013,238,19.0,16.6,21.5,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2013,361,14.0,12.6,15.5,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2014,169,12.9,11.0,14.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2014,261,20.9,18.4,23.4,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2014,430,16.8,15.2,18.4,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2015,159,12.0,10.2,13.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2015,264,21.1,18.6,23.7,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2015,423,16.4,14.9,18.0,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2016,140,10.4,8.7,12.2,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2016,275,21.9,19.3,24.5,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2016,415,16.0,14.4,17.5,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2017,146,11.1,9.3,12.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2017,253,20.1,17.6,22.6,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2017,399,15.5,13.9,17.0,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2018,143,10.7,9.0,12.5,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2018,268,21.3,18.7,23.8,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2018,411,15.8,14.3,17.4,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2019,151,11.2,9.4,13.0,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2019,286,22.5,19.9,25.1,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2019,437,16.6,15.1,18.2,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2020,197,14.9,12.8,17.0,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2020,325,25.6,22.8,28.4,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2020,522,20.0,18.3,21.8,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2021,188,13.9,11.9,15.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2021,353,27.4,24.5,30.3,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2021,541,20.4,18.7,22.2,,,,,,,,,,,,,,,,,
