"Number of deaths and age-standardised mortality rates for deaths related to drug misuse, with an underlying cause of accidental poisoning or mental and behavioural disorders, by sex, country and region, England and Wales, registered between 1993 and 2021",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,Persons,,,,,,Males,,,,,,Females,,,,
Year of death registration,Area code,Area name,,Deaths,Rate,,Lower Confidence Limit,Upper Confidence Limit,,Deaths,Rate,,Lower Confidence Limit,Upper Confidence Limit,,Deaths,Rate,,Lower Confidence Limit,Upper Confidence Limit
,,,,,,,,,,,,,,,,,,,,
2021,E92000001,England,,"2,501",45.6,,43.8,47.4,,"1,858",69.2,,66.0,72.4,,643,22.9,,21.1,24.7
,E12000001,,North East,237,97.5,,85.1,110.0,,183,154.7,,132.2,177.2,,54,42.8,,32.1,55.9
,E12000002,,North West,507,71.9,,65.7,78.2,,357,103.3,,92.6,114.0,,150,41.5,,34.8,48.2
,E12000003,,Yorkshire and the Humber,316,61.6,,54.8,68.5,,226,88.9,,77.3,100.6,,90,35.2,,28.3,43.2
,E12000004,,East Midlands,200,43.4,,37.4,49.4,,151,66.6,,56.0,77.3,,49,20.7,,15.3,27.3
,E12000005,,West Midlands,256,45.7,,40.1,51.4,,193,70.2,,60.3,80.2,,63,22.0,,16.9,28.1
,E12000006,,East,144,23.4,,19.6,27.3,,113,37.5,,30.5,44.4,,31,9.9,,6.7,14.1
,E12000007,,London,260,29.2,,25.6,32.9,,194,45.1,,38.6,51.6,,66,14.3,,11.0,18.3
,E12000008,,South East,304,33.8,,30.0,37.6,,226,51.4,,44.7,58.1,,78,16.7,,13.2,20.9
,E12000009,,South West,277,52.5,,46.3,58.7,,215,82.9,,71.8,94.0,,62,22.9,,17.5,29.4
,W92000004,Wales,,186,65.6,,56.2,75.1,,141,102.7,,85.6,119.7,,45,30.1,,21.9,40.4
,,,,,,,,,,,,,,,,,,,,
2020,E92000001,England,,"2,485",45.8,,44.0,47.6,,"1,839",68.1,,65.0,71.3,,646,23.7,,21.8,25.5
,E12000001,,North East,236,95.7,,83.4,108.0,,180,148.2,,126.3,170.0,,56,44.8,,33.8,58.3
,E12000002,,North West,476,68.8,,62.6,75.1,,347,101.2,,90.5,111.9,,129,37.0,,30.6,43.4
,E12000003,,Yorkshire and the Humber,313,61.7,,54.9,68.6,,225,89.7,,77.9,101.4,,88,34.3,,27.5,42.3
,E12000004,,East Midlands,168,36.7,,31.1,42.2,,120,53.4,,43.8,63.0,,48,20.2,,14.9,26.8
,E12000005,,West Midlands,274,49.6,,43.7,55.5,,202,73.6,,63.4,83.8,,72,25.9,,20.2,32.6
,E12000006,,East,194,32.4,,27.8,37.0,,142,48.0,,40.1,55.9,,52,17.0,,12.7,22.3
,E12000007,,London,264,29.1,,25.5,32.7,,194,41.5,,35.5,47.5,,70,16.3,,12.6,20.7
,E12000008,,South East,298,33.8,,30.0,37.6,,225,51.9,,45.1,58.7,,73,16.2,,12.7,20.4
