"Table 3: Age-standardised suicide [note 1] rates per 100,000 population by sex, Wales, 1981 to 2021 registrations",,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the 'Notes' worksheet.,,,,,,,,,,,,,,
LCL = lower confidence limit (95%) and UCL = upper confidence limit (95%).,,,,,,,,,,,,,,
"Area code 
[note 2]","Area of usual residence 
[note 2]","Year of death registration 
[note 3]","Persons 
Number of deaths","Persons 
Rate per 100,000 
[note 4]","Persons 
LCL 
[note 6]","Persons 
UCL 
[note 6]","Males 
Number of deaths","Males 
Rate per 100,000 
[note 4]","Males 
LCL 
[note 6]","Males 
UCL 
[note 6]","Females 
Number of deaths","Females 
Rate per 100,000 
[note 4]","Females 
LCL 
[note 6]","Females 
UCL 
[note 6]"
W92000004,Wales,2021,347,12.7,11.4,14.1,265,19.7,17.3,22.1,82,5.9,4.7,7.4
W92000004,Wales,2020,285,10.3,9.1,11.6,225,16.7,14.5,19.0,60,4.3,3.3,5.5
W92000004,Wales,2019,330,12.2,10.8,13.5,248,18.8,16.5,21.2,82,5.8,4.6,7.2
W92000004,Wales,2018,349,12.8,11.5,14.2,252,19.1,16.7,21.4,97,6.9,5.6,8.4
W92000004,Wales,2017,360,13.2,11.9,14.6,278,20.9,18.4,23.4,82,5.8,4.6,7.3
W92000004,Wales,2016,322,11.8,10.5,13.1,265,20.0,17.5,22.4,57,4.0,3.1,5.2
W92000004,Wales,2015,350,13.0,11.6,14.3,274,21.0,18.5,23.6,76,5.5,4.3,6.9
W92000004,Wales,2014,247,9.2,8.1,10.4,199,15.3,13.2,17.5,48,3.4,2.5,4.6
W92000004,Wales,2013,393,14.7,13.2,16.1,317,24.5,21.7,27.2,76,5.5,4.3,6.9
W92000004,Wales,2012,334,12.5,11.2,13.9,257,20.1,17.6,22.5,77,5.6,4.4,6.9
W92000004,Wales,2011,341,12.6,11.3,13.9,270,20.3,17.9,22.8,71,5.1,4.0,6.5
W92000004,Wales,2010,288,10.8,9.6,12.1,225,17.6,15.3,19.9,63,4.5,3.5,5.8
W92000004,Wales,2009,258,9.7,8.5,10.9,201,15.4,13.3,17.6,57,4.2,3.2,5.4
W92000004,Wales,2008,267,10.0,8.8,11.2,196,15.1,13.0,17.3,71,5.2,4.1,6.6
W92000004,Wales,2007,290,11.2,9.9,12.5,232,18.7,16.2,21.1,58,4.3,3.3,5.6
W92000004,Wales,2006,300,11.5,10.2,12.9,223,17.8,15.4,20.2,77,5.7,4.5,7.2
W92000004,Wales,2005,270,10.4,9.2,11.7,213,17.1,14.8,19.5,57,4.3,3.2,5.6
W92000004,Wales,2004,330,12.9,11.5,14.3,258,20.9,18.3,23.5,72,5.5,4.3,6.9
W92000004,Wales,2003,334,13.0,11.6,14.4,254,20.2,17.7,22.7,80,6.0,4.8,7.5
W92000004,Wales,2002,305,12.0,10.6,13.3,229,18.5,16.1,20.9,76,5.7,4.5,7.1
W92000004,Wales,2001,312,12.4,11.0,13.7,253,21.0,18.3,23.6,59,4.6,3.5,5.9
W92000004,Wales,2000,320,12.6,11.2,14.0,252,20.6,18.0,23.2,68,5.2,4.0,6.6
W92000004,Wales,1999,333,13.2,11.8,14.7,268,22.4,19.6,25.2,65,5.0,3.8,6.3
W92000004,Wales,1998,319,12.7,11.3,14.1,237,19.4,16.9,21.9,82,6.4,5.1,7.9
W92000004,Wales,1997,288,11.3,10.0,12.6,214,17.4,15.0,19.7,74,5.8,4.5,7.3
W92000004,Wales,1996,281,11.1,9.8,12.4,226,18.5,16.1,21.0,55,4.2,3.2,5.5
W92000004,Wales,1995,327,13.0,11.5,14.4,265,21.5,18.9,24.2,62,4.8,3.7,6.2
W92000004,Wales,1994,320,12.8,11.4,14.2,245,20.1,17.5,22.7,75,5.8,4.6,7.3
W92000004,Wales,1993,291,11.7,10.3,13.0,229,18.7,16.2,21.1,62,5.0,3.8,6.4
W92000004,Wales,1992,347,14.0,12.5,15.5,269,23.3,20.3,26.3,78,6.0,4.7,7.5
W92000004,Wales,1991,320,13.1,11.6,14.5,247,21.1,18.4,23.8,73,5.7,4.5,7.2
W92000004,Wales,1990,297,12.1,10.8,13.5,223,19.2,16.5,21.9,74,6.1,4.8,7.6
W92000004,Wales,1989,264,11.0,9.7,12.3,189,16.3,13.9,18.7,75,6.2,4.9,7.8
W92000004,Wales,1988,322,13.4,11.9,14.9,246,22.1,19.1,25.1,76,6.1,4.8,7.7
W92000004,Wales,1987,323,13.7,12.2,15.2,230,20.6,17.7,23.5,93,7.5,6.1,9.2
W92000004,Wales,1986,324,13.9,12.4,15.4,234,21.3,18.4,24.1,90,7.2,5.8,8.9
W92000004,Wales,1985,287,12.4,11.0,13.9,191,17.5,14.9,20.0,96,8.0,6.5,9.8
W92000004,Wales,1984,304,13.3,11.7,14.8,196,18.0,15.3,20.6,108,9.2,7.4,10.9
W92000004,Wales,1983,318,13.9,12.4,15.5,221,19.9,17.2,22.6,97,8.2,6.7,10.1
W92000004,Wales,1982,343,14.9,13.3,16.5,224,20.9,18.0,23.7,119,9.8,8.0,11.5
W92000004,Wales,1981,271,12.0,10.5,13.4,165,16.0,13.2,18.8,106,9.0,7.3,10.7
