"","Sex","Area","Year","suic_rates","unemp_rate"
"1","Female","East Midlands","1993","5.1",7.25
"2","Female","East Midlands","1994","5.3",7.025
"3","Female","East Midlands","1995","5.6",5.9
"4","Female","East Midlands","1996","5.5",5.825
"5","Female","East Midlands","1997","4.7",4.925
"6","Female","East Midlands","1998","4.2",4.775
"7","Female","East Midlands","1999","5.3",4.975
"8","Female","East Midlands","2000","4.9",4.525
"9","Female","East Midlands","2001","4.9",4.7
"10","Female","East Midlands","2002","4.8",4.55
"11","Female","East Midlands","2003","4.8",3.825
"12","Female","East Midlands","2004","5.4",4.1
"13","Female","East Midlands","2005","4.4",3.875
"14","Female","East Midlands","2006","4.8",5.125
"15","Female","East Midlands","2007","3.8",5.575
"16","Female","East Midlands","2008","4.3",5.55
"17","Female","East Midlands","2009","5.1",6.2
"18","Female","East Midlands","2010","4.1",7.45
"19","Female","East Midlands","2011","4.1",8.25
"20","Female","East Midlands","2012","3.5",8
"21","Female","East Midlands","2013","3.8",7.225
"22","Female","East Midlands","2014","4.9",5.325
"23","Female","East Midlands","2015","4.5",4.5
"24","Female","East Midlands","2016","3.6",4.75
"25","Female","East Midlands","2017","4.1",4.05
"26","Female","East Midlands","2018","4.7",4.3
"27","Female","East Midlands","2019","5.2",3.975
"28","Female","East Midlands","2020","3.9",4.7
"29","Female","East Midlands","2021","4.8",3.8
"30","Female","East","1993","5.7",7.3
"31","Female","East","1994","4.8",6.9
"32","Female","East","1995","4.6",6.275
"33","Female","East","1996","4.9",5.875
"34","Female","East","1997","4.8",5.2
"35","Female","East","1998","5.1",4.825
"36","Female","East","1999","4.0",3.875
"37","Female","East","2000","4.8",3.4
"38","Female","East","2001","5.0",4.05
"39","Female","East","2002","4.5",3.525
"40","Female","East","2003","4.8",3.925
"41","Female","East","2004","5.3",3.6
"42","Female","East","2005","4.6",4.125
"43","Female","East","2006","4.5",4.8
"44","Female","East","2007","4.0",4.975
"45","Female","East","2008","4.9",4.55
"46","Female","East","2009","3.9",5.95
"47","Female","East","2010","3.6",6.2
"48","Female","East","2011","4.5",6.475
"49","Female","East","2012","4.1",6.775
"50","Female","East","2013","3.9",6.1
"51","Female","East","2014","4.8",4.8
"52","Female","East","2015","4.4",4.1
"53","Female","East","2016","4.8",4.225
"54","Female","East","2017","4.5",3.775
"55","Female","East","2018","5.4",3.325
"56","Female","East","2019","5.9",3.1
"57","Female","East","2020","4.9",4.2
"58","Female","East","2021","4.1",3.575
"59","Female","London","1993","7.6",10.75
"60","Female","London","1994","6.1",9.85
"61","Female","London","1995","5.7",10.075
"62","Female","London","1996","5.4",9.325
"63","Female","London","1997","6.0",8.675
"64","Female","London","1998","6.9",7.25
"65","Female","London","1999","6.4",6.875
"66","Female","London","2000","5.8",6.7
"67","Female","London","2001","5.5",5.875
"68","Female","London","2002","5.4",6.125
"69","Female","London","2003","6.1",6.45
"70","Female","London","2004","5.2",7
"71","Female","London","2005","5.3",6.475
"72","Female","London","2006","4.6",7.85
"73","Female","London","2007","4.2",6.9
"74","Female","London","2008","4.2",7.325
"75","Female","London","2009","4.2",9.125
"76","Female","London","2010","3.9",9.225
"77","Female","London","2011","4.7",10
"78","Female","London","2012","4.1",9.5
"79","Female","London","2013","3.5",9.075
"80","Female","London","2014","3.5",7.525
"81","Female","London","2015","5.4",6.9
"82","Female","London","2016","3.7",6.35
"83","Female","London","2017","4.0",5.925
"84","Female","London","2018","4.1",4.975
"85","Female","London","2019","4.6",4.25
"86","Female","London","2020","3.4",6.05
"87","Female","London","2021","3.4",6.625
"88","Female","North East","1993","5.6",7.95
"89","Female","North East","1994","6.4",8.525
"90","Female","North East","1995","5.3",7.5
"91","Female","North East","1996","4.2",7.825
"92","Female","North East","1997","5.4",7.075
"93","Female","North East","1998","6.1",6.75
"94","Female","North East","1999","5.3",7.65
"95","Female","North East","2000","5.4",6.7
"96","Female","North East","2001","4.8",5.875
"97","Female","North East","2002","4.4",5.1
"98","Female","North East","2003","5.0",4.95
"99","Female","North East","2004","7.2",4.75
"100","Female","North East","2005","5.8",5.15
"101","Female","North East","2006","4.4",5.275
"102","Female","North East","2007","4.0",4.875
"103","Female","North East","2008","4.4",6.825
"104","Female","North East","2009","3.7",7.225
"105","Female","North East","2010","5.4",8.325
"106","Female","North East","2011","4.6",9.975
"107","Female","North East","2012","4.0",8.725
"108","Female","North East","2013","5.5",9.6
"109","Female","North East","2014","5.4",9.375
"110","Female","North East","2015","5.3",7.625
"111","Female","North East","2016","5.5",6.775
"112","Female","North East","2017","4.1",5.2
"113","Female","North East","2018","5.2",4.975
"114","Female","North East","2019","4.1",5.225
"115","Female","North East","2020","5.8",4.225
"116","Female","North East","2021","6.4",4.925
"117","Female","North West","1993","5.9",8.35
"118","Female","North West","1994","6.1",7.25
"119","Female","North West","1995","6.1",6.7
"120","Female","North West","1996","5.3",6
"121","Female","North West","1997","6.6",5.6
"122","Female","North West","1998","6.2",5.325
"123","Female","North West","1999","6.3",4.9
"124","Female","North West","2000","6.0",4.775
"125","Female","North West","2001","6.1",4.45
"126","Female","North West","2002","5.7",4.425
"127","Female","North West","2003","5.7",4.225
"128","Female","North West","2004","5.2",4.175
"129","Female","North West","2005","5.1",4.175
"130","Female","North West","2006","4.7",4.575
"131","Female","North West","2007","4.5",4.925
"132","Female","North West","2008","4.4",5.725
"133","Female","North West","2009","5.4",6.85
"134","Female","North West","2010","4.4",6.925
"135","Female","North West","2011","4.6",7.525
"136","Female","North West","2012","4.8",7.625
"137","Female","North West","2013","4.7",7.375
"138","Female","North West","2014","5.8",6.275
"139","Female","North West","2015","5.5",5.575
"140","Female","North West","2016","5.0",4.5
"141","Female","North West","2017","4.8",3.9
"142","Female","North West","2018","4.8",3.8
"143","Female","North West","2019","5.2",3.925
"144","Female","North West","2020","4.9",4.2
"145","Female","North West","2021","6.3",4.35
"146","Female","South East","1993","6.7",6.425
"147","Female","South East","1994","6.0",5.925
"148","Female","South East","1995","5.9",5.525
"149","Female","South East","1996","6.1",5.075
"150","Female","South East","1997","6.3",4.6
"151","Female","South East","1998","5.5",4.175
"152","Female","South East","1999","4.8",4.1
"153","Female","South East","2000","5.8",3.425
"154","Female","South East","2001","5.0",3.275
"155","Female","South East","2002","5.8",3.675
"156","Female","South East","2003","4.6",3.725
"157","Female","South East","2004","5.1",3.475
"158","Female","South East","2005","5.5",3.9
"159","Female","South East","2006","5.1",4.4
"160","Female","South East","2007","4.2",4.325
"161","Female","South East","2008","4.4",4.325
"162","Female","South East","2009","5.0",5.175
"163","Female","South East","2010","4.7",5.725
"164","Female","South East","2011","5.1",6.1
"165","Female","South East","2012","4.5",6.775
"166","Female","South East","2013","4.9",5.65
"167","Female","South East","2014","4.7",5
"168","Female","South East","2015","4.8",4.4
"169","Female","South East","2016","4.9",3.75
"170","Female","South East","2017","4.8",3.4
"171","Female","South East","2018","4.7",3.75
"172","Female","South East","2019","4.9",3
"173","Female","South East","2020","5.9",3.45
"174","Female","South East","2021","5.8",3.675
"175","Female","South West","1993","5.7",6.55
"176","Female","South West","1994","5.7",5.85
"177","Female","South West","1995","6.2",6.15
"178","Female","South West","1996","6.1",5.35
"179","Female","South West","1997","5.1",4.975
"180","Female","South West","1998","6.0",4.275
"181","Female","South West","1999","6.4",4.175
"182","Female","South West","2000","6.3",3.95
"183","Female","South West","2001","4.5",3.6
"184","Female","South West","2002","5.9",3.45
"185","Female","South West","2003","5.0",3.225
"186","Female","South West","2004","6.0",2.8
"187","Female","South West","2005","5.0",3.5
"188","Female","South West","2006","4.7",3.7
"189","Female","South West","2007","4.7",3.925
"190","Female","South West","2008","4.8",3.725
"191","Female","South West","2009","5.3",5.35
"192","Female","South West","2010","5.4",5.8
"193","Female","South West","2011","5.2",5.825
"194","Female","South West","2012","5.3",5.4
"195","Female","South West","2013","5.9",5.725
"196","Female","South West","2014","6.5",4.3
"197","Female","South West","2015","5.7",4.475
"198","Female","South West","2016","5.6",3.95
"199","Female","South West","2017","5.6",4.025
"200","Female","South West","2018","5.7",3.2
"201","Female","South West","2019","4.9",2.525
"202","Female","South West","2020","5.8",3.525
"203","Female","South West","2021","7.1",3.425
"204","Female","Wales","1993","5.0",7.1
"205","Female","Wales","1994","5.8",7.8
"206","Female","Wales","1995","4.8",7.025
"207","Female","Wales","1996","4.2",6.425
"208","Female","Wales","1997","5.8",6.25
"209","Female","Wales","1998","6.4",6.175
"210","Female","Wales","1999","5.0",5.7
"211","Female","Wales","2000","5.2",5.175
"212","Female","Wales","2001","4.6",4.9
"213","Female","Wales","2002","5.7",4.9
"214","Female","Wales","2003","6.0",3.575
"215","Female","Wales","2004","5.5",4.35
"216","Female","Wales","2005","4.3",3.6
"217","Female","Wales","2006","5.7",4.55
"218","Female","Wales","2007","4.3",5.475
"219","Female","Wales","2008","5.2",5.225
